@relation answerExp2
@attribute AnswerType STRING
@attribute Question STRING
@data
"NUM:count" , "how many state have a lottery" 
"LOC:city" , "what be the name of the large city in chile south america" 
"NUM:perc" , "what ratio of child of age between two and eleven watch the simpson" 
"NUM:count" , "how many city be there in utah" 
"NUM:count" , "how many visitor go to the vatican each year" 
"NUM:other" , "what be the population of mexico" 
"LOC:other" , "what be the best online game site" 
"NUM:date" , "what century do art romantic period begin in" 
"NUM:count" , "how many space follow a period at the end of a sentence" 
"NUM:date" , "in what year be the berlin wall erect" 
"NUM:weight" , "what be the weight of a teaspoon of matter in a black hole" 
"NUM:weight" , "what be the approximate weight of a teaspoon of matter in a black hole" 
"LOC:other" , "on what avenue be the original saks department store locate" 
"LOC:other" , "where do the song anything go take place" 
"LOC:other" , "where be the first zoo in the" 
"NUM:dist" , "how far be yaroslavl from moscow" 
"HUM:ind" , "what be the present pope name" 
"HUM:ind" , "who be the nebbish that be marvel official mascot" 
"NUM:count" , "how many byte be in a terabyte" 
"HUM:ind" , "who sing the song hook on a feeling in the dancing baby episode of ally mcbeal" 
"NUM:weight" , "approximately how much do a teaspoon of matter weigh in a black hole" 
"LOC:country" , "what country flag be field green" 
"HUM:ind" , "who be the columbia picture head who forge actor cliff robertson name on a check" 
"HUM:ind" , "name dondi adoptive grandfather" 
"NUM:date" , "when be the congress of vienna" 
"NUM:count" , "how much folic acid should a pregnant woman get each day" 
"NUM:date" , "what year be the first automobile manufacture" 
"NUM:count" , "how many colony do germany get to keep after world war i" 
"NUM:count" , "how many state have a lemon law for new automobile" 
"HUM:ind" , "whose biography by maurice zolotow be title shoot star" 
"HUM:ind" , "in the movie groundshog day what be the name of the character play by andie macdowell" 
"NUM:period" , "how old be benny carter" 
"LOC:other" , "where can i read about chiang" 
"LOC:country" , "what country border the most others" 
"LOC:other" , "what river run through colorado kansa and oklahoma" 
"HUM:ind" , "who be the first american citizen award the albert medal of the society of art" 
"HUM:ind" , "what doctor be synonymous with footwear and foot care" 
"NUM:other" , "what be the shoe size of o jordan and mutombo the nba player" 
"HUM:ind" , "who found the unification church" 
"NUM:count" , "how many zero be there in a trillion" 
"NUM:other" , "what be the statistic for drunken driver in maryland" 
"HUM:ind" , "what american general drag a bull terrier name willie through world war ii" 
"NUM:other" , "what the score of a forfeited baseball game" 
"LOC:other" , "where do tuberculosis come from" 
"HUM:ind" , "who invent the lawnmower" 
"LOC:other" , "where can i find lyric for r b" 
"HUM:ind" , "what senator once play basketball for the new york knicks" 
"HUM:ind" , "what be li l abner last name" 
"NUM:count" , "how many liberty bell have there be" 
"LOC:country" , "what two country be separate by the bering strait" 
"LOC:country" , "jackson pollock be of what nationality" 
"HUM:ind" , "what architect originate the glass house design the chicago federal center have a philosophy of less be more and produce plan that be the forerunner of the california ranch house" 
"NUM:count" , "how many russian have land on the moon" 
"NUM:date" , "when be franklin roosevelt stricken with polio" 
"LOC:other" , "where on the internet can i get chemical importer" 
"LOC:country" , "what be the first country to put a second woman in space" 
"HUM:ind" , "who share a new york city apartment with roger maris the year he hit home run" 
"LOC:other" , "what prison be find in ossining new york" 
"LOC:country" , "what country have declare of it territory to russian" 
"HUM:ind" , "who be the director of intergovernmental affair for the san diego county" 
"HUM:ind" , "what hall of fame pitcher start three world series game for the new york yankee in" 
"LOC:other" , "what be the long river in the united state" 
"LOC:other" , "what river be windsor castle on" 
"LOC:other" , "where be natchitoches louisiana" 
"HUM:ind" , "what be the name of a greek god" 
"LOC:city" , "what the capital of taiwan" 
"NUM:money" , "what be the start salary for begin lawyer" 
"HUM:ind" , "what be the man name who be kill in a duel with aaron burr" 
"NUM:money" , "what will the california gas tax be in the year" 
"LOC:city" , "what city be serve by tempelhol airport" 
"HUM:ind" , "who direct the first woody woodpecker cartoon" 
"HUM:ind" , "what two historical figure who fight each other in a famous battle each have a food name after them" 
"LOC:other" , "where in the united state do people live the long" 
"LOC:country" , "what country in have the most suicides regardless of population size" 
"NUM:money" , "what be the price for tuberculosis drug" 
"NUM:money" , "what be the first minimum wage" 
"NUM:count" , "how many people live in nebraska in the mid" 
"NUM:date" , "what year be janet jackson first album release" 
"HUM:ind" , "name of heroine in scruple" 
"NUM:count" , "how many movie have draw barrymore be in" 
"HUM:ind" , "what tv character sire a horse name thunder" 
"LOC:other" , "what be the name of the planet that the ewoks live on" 
"HUM:ind" , "what baseball player be know a charley hustle" 
"HUM:ind" , "who kill lee harvey oswald" 
"HUM:ind" , "who invent the fax machine" 
"NUM:dist" , "how wide be the atlantic ocean" 
"HUM:ind" , "who write the poem that start i love your lip when they wet with wine and red with a warm desire" 
"HUM:ind" , "what singer theme song be when the moon come over the mountain" 
"NUM:count" , "how many meter be in a mile" 
"NUM:count" , "about how many soldier die in world war ii" 
"HUM:ind" , "who be rocky and bullwinkle friend" 
"HUM:ind" , "who think he never see a poem lovely a a tree" 
"HUM:ind" , "who create the muppets" 
"LOC:other" , "what celestial body have a diameter of mile" 
"HUM:ind" , "name one of the major god of hinduism" 
"LOC:country" , "what country border denmark to the south" 
"HUM:ind" , "what two u biochemist win the nobel prize in medicine in" 
"LOC:other" , "where do you find the answer for all these question" 
"NUM:count" , "how many neuron be in the human brain" 
"LOC:city" , "what city be kdge radio locate in" 
"LOC:city" , "what city be bobby kennedy assassinate in" 
"LOC:other" , "what london museum feature a chamber of horror" 
"LOC:city" , "what city be serve by mccarren airport" 
"NUM:count" , "how many lake be there on the earth" 
"HUM:ind" , "who else be consider for the role of luke skywalker when george lucas be cast for star war" 
"NUM:period" , "how long do a fly live" 
"NUM:weight" , "how many pound be there in a stone" 
"NUM:other" , "what amount of folic acid should an expectant mother take daily" 
"HUM:ind" , "who be the king who sign the magna carta" 
"NUM:count" , "how many mile be it from frankfurt germany to salzburg austria" 
"NUM:count" , "how many chair be show in vincent van gogh work the artist room in arles" 
"LOC:state" , "what state on the gulf of mexico have it low point five foot below sea level" 
"LOC:other" , "where can i find a case on american with disability act of" 
"HUM:ind" , "who be the leader of india" 
"HUM:ind" , "who be the prophet that be most connect to the dead sea" 
"NUM:perc" , "what be the chance of pregnacy if the penis do not penetrate the vagina" 
"LOC:other" , "where be the keck telescope" 
"LOC:other" , "where be the apartment in saint john new brunswick" 
"HUM:ind" , "who write the pit and the pendulum" 
"LOC:country" , "what country do the mau mau uprise take place in" 
"LOC:other" , "what be some good medical site for information" 
"HUM:ind" , "who be the incredible hulk in reality" 
"NUM:date" , "what month do the edmund fitzgerald sink" 
"HUM:ind" , "who be the president of mexico and indonesia" 
"HUM:ind" , "who play al jolson in the jolson story" 
"LOC:other" , "where be the summer olympics hold" 
"LOC:other" , "where be los vega" 
"LOC:country" , "name the country which honecker live in" 
"LOC:state" , "what state be the finger lakes in" 
"LOC:city" , "what be the ten safe american city for pedestrian" 
"HUM:ind" , "what tv detective do craig stevens play" 
"LOC:other" , "where can i find a picture of a blue meanie" 
"LOC:state" , "what state do the continental divide leave to enter canada" 
"HUM:ind" , "in the past year who have the mvp player for the nhl be" 
"HUM:ind" , "who play emperor palpatine in star war" 
"LOC:other" , "what the name of the wilkes plantation in go with the wind" 
"LOC:other" , "where be the statistical abstract of the united state online" 
"NUM:date" , "when be the brandenburg gate in berlin build" 
"HUM:ind" , "whose husband have include conrad hilton and michael wilding" 
"HUM:ind" , "who be king in alley oop home of moo" 
"NUM:count" , "how much of the silver production be manufacture by independent silversmith" 
"NUM:perc" , "what percentage of the silver production be do by independent silversmith" 
"NUM:date" , "what date be box day" 
"NUM:count" , "how many inch tall be stuart little at birth" 
"NUM:count" , "how many stradivarius violin be ever make" 
"HUM:ind" , "who invent the stock ticker in" 
"LOC:other" , "what be einstein birthplace" 
"NUM:date" , "what century the setting for tv the adventure of robin hood" 
"HUM:ind" , "who write the bible" 
"NUM:money" , "what debts do qintex group leave" 
"HUM:ind" , "which president be bury in washington" 
"LOC:other" , "where be the austerlitz and victor hugo subway stop" 
"LOC:other" , "where do ty cobb grow up" 
"NUM:money" , "what be the income of colombia south america" 
"NUM:count" , "how many type of cheese be there in france" 
"NUM:count" , "how many eye do a coconut have" 
"NUM:count" , "how many website be there in the world" 
"NUM:count" , "how many point be a disk in the center hole worth in crokinole" 
"LOC:other" , "what general direction do the journey in around the world in day proceed in" 
"HUM:ind" , "the lawyer who represent randy craft what be his name" 
"LOC:mount" , "what be new england high mountain" 
"HUM:ind" , "who be the first black to be head coach of a major league pro sport team" 
"NUM:date" , "what year do the war of begin" 
"NUM:count" , "how many verse be in the bible" 
"HUM:ind" , "what robust president import his own instructor after see a judo match" 
"LOC:country" , "in what nation be edessa locate nowadays" 
"LOC:country" , "name a country that be develop a magnetic levitation railway system" 
"NUM:code" , "what seven digit follow the area code in the number for long distance information" 
"HUM:ind" , "what be the player name who play nose tackle for the eagle in super bowl xv" 
"LOC:other" , "where be the large dam in the world" 
"HUM:ind" , "who hold the endurance record for woman pilot in" 
"NUM:perc" , "independent silversmith account for what percentage of silver production" 
"LOC:other" , "in what part of the world be mozambique" 
"HUM:ind" , "who be woody woodpecker niece and nephew" 
"HUM:ind" , "who create maudie frickett" 
"HUM:ind" , "who be the first english circumnavigator of the globe" 
"NUM:money" , "what be the salary of a representative" 
"LOC:other" , "what waterway be mile long" 
"HUM:ind" , "who liberate century sicily and naples" 
"LOC:other" , "on what river be strasbourg build" 
"NUM:count" , "what the maximum length in inch of a first baseman glove" 
"LOC:country" , "what country be locate at degree north latitude and degree east longitude" 
"LOC:other" , "where be the busy port in the world" 
"NUM:count" , "what be the pig population of the world" 
"LOC:city" , "what city do mccarren airport serve" 
"NUM:count" , "what be the most number of goal score by a single team in an nhl hockey game" 
"HUM:ind" , "what actor have a tattoo on his right wrist read scotland forever" 
"NUM:count" , "how many dollar a day do arthur frommer say you could get by on in europe in" 
"HUM:ind" , "who appoint the chair of the federal reserve" 
"LOC:other" , "where can i find coastal ocean surface temperature information preferably along north america and the caribbean" 
"LOC:city" , "what be the two city in dicken a tale of two city" 
"HUM:ind" , "what english queen have six finger on one hand" 
"LOC:other" , "what river run through liverpool" 
"NUM:date" , "when do mount helen last erupt" 
"NUM:date" , "when be child labor abolish" 
"NUM:count" , "how many permutation can be make from the four letter c" 
"NUM:date" , "what time of year be air travel the heavy" 
"LOC:other" , "what the long river in canada" 
"HUM:ind" , "what tennis player have the nickname nasty" 
"HUM:ind" , "what abstract painter be dub jack the dripper by time" 
"NUM:count" , "how many furlong be there in a recetrack" 
"NUM:count" , "how many millimeter be in a mile" 
"NUM:volsize" , "how big be a baby bald eagle" 
"NUM:count" , "what be the great britain population from" 
"LOC:mount" , "what mountain range mark the border of france and spain" 
"HUM:ind" , "who found the modern theory of probability" 
"NUM:count" , "how many people do randy craft murder" 
"HUM:ind" , "who the king of swing" 
"HUM:ind" , "what bestselling modern poet be the of the famous city light bookshop in san francisco" 
"HUM:ind" , "what south vietnamese president be assassinate by his general in" 
"NUM:period" , "how old be too old for a child to not be talk" 
"NUM:date" , "when be the hoover dam construct" 
"NUM:count" , "how many tenth of the earth surface lie under water" 
"NUM:perc" , "what be the pennsylvania state income tax rate" 
"HUM:ind" , "who win the california democratic primary" 
"HUM:ind" , "who speak the only word in mel brook silent movie" 
"HUM:ind" , "what be thatcher first name" 
"HUM:ind" , "who be the first russian astronaut to walk in space" 
"HUM:ind" , "who write dubliner" 
"NUM:period" , "what be the life expectancy of an elephant" 
"HUM:ind" , "who be malaysia prime minister" 
"HUM:ind" , "who found the first aerodynamics laboratory in" 
"NUM:money" , "what be the fare cost for the round trip between new york and london on concorde" 
"HUM:ind" , "who say give me liberty or give me death" 
"LOC:other" , "what be the location of mccarren airport" 
"NUM:money" , "by how much will the california state gas tax rise by the year" 
"HUM:ind" , "name of the powerful white trader in conrad heart of darkness" 
"NUM:dist" , "how long be the border between canada and the conterminous state" 
"LOC:other" , "what be the large island in the mediterranean sea" 
"NUM:money" , "what be joe namath first contract worth" 
"LOC:other" , "where be rider college" 
"LOC:other" , "where be chop suey invent" 
"LOC:other" , "where do dew come from" 
"NUM:period" , "how old be lucille ball when the show i love lucy premier" 
"LOC:other" , "what landmark italian restaurant can be find at west street new york city" 
"NUM:count" , "how many point be a bullseye worth in dart" 
"LOC:other" , "what be some mythology website" 
"LOC:country" , "what nationality be ileana cotrubas" 
"NUM:other" , "what be the population of kansa" 
"HUM:ind" , "who invent the opener on can" 
"HUM:ind" , "what be the name of the deranged otto octavius use" 
"HUM:ind" , "whose acceptance speech of more than minute prompt a time limit on academy award" 
"NUM:count" , "how much coca cola be drink in one day in the world" 
"LOC:other" , "where do the world come from" 
"LOC:other" , "what island group be guadalcanal a part of" 
"HUM:ind" , "who declare i think i go out and milk the elk" 
"NUM:count" , "how many company be started every day" 
"LOC:country" , "what the only east european country not tie to the ruble" 
"NUM:date" , "what be judy garland date of birth" 
"HUM:ind" , "which former ku klux klan member win an elected office in the" 
"NUM:dist" , "what be the length of border between the ukraine and russia" 
"LOC:country" , "what country have the high arson rate" 
"HUM:ind" , "who be the actor who play sam in the movie casablanca" 
"LOC:city" , "what city do orly airport serve" 
"LOC:other" , "where do woodstock take place" 
"NUM:period" , "what be the average time to kiss somene" 
"LOC:country" , "what be the top five country in the world" 
"HUM:ind" , "what new orleans claim my staff and i solve the assassination week ago" 
"LOC:other" , "where can one find rider college" 
"NUM:count" , "how much caffeine be in a oz cup of coffee" 
"HUM:ind" , "what be the real name of writer ross macdonald creator of the hero lew archer" 
"NUM:volsize" , "how big be australia" 
"LOC:country" , "what country have the most auto theft" 
"HUM:ind" , "who make chicken finger lickin good" 
"HUM:ind" , "what director portray the commandant of the pow camp in stalag" 
"HUM:ind" , "what be the name of jacques cousteau two son" 
"HUM:ind" , "who accompany space ghost on his mission" 
"HUM:ind" , "what world war ii leader declare the blow have be strike" 
"HUM:ind" , "who be israel first prime minister" 
"LOC:country" , "what country boast ismail palace and the palace of king farouk" 
"LOC:other" , "where could i go to take a ride on a steam locomotive" 
"LOC:other" , "where be the virtual desk reference" 
"NUM:other" , "how loud be thunder" 
"HUM:ind" , "what california governor say inaction may be the high form of action" 
"HUM:ind" , "who be the first person to study the star" 
"HUM:ind" , "who be the author of the book the iron lady a biography of margaret thatcher" 
"NUM:money" , "how much would a stamp be worth thomas jefferson on it" 
"NUM:perc" , "what be the probability that at least out of people will have the same birthday" 
"LOC:other" , "where be the bridge over the river kwai" 
"NUM:count" , "how many people do the united nation commit to help restore order and distribute humanitarian relief in somalia in september" 
"NUM:count" , "how many elephant be leave on earth" 
"HUM:ind" , "who do doris day mean when she say i call him ernie because he certainly no rock" 
"NUM:date" , "when be the first practical commercial typewriter market" 
"LOC:country" , "what scandinavian country cover square mile" 
"NUM:period" , "how long would it take to get from earth to mar" 
"LOC:other" , "where can i get mail list" 
"LOC:city" , "what city boast the billingsgate fishmarket" 
"HUM:ind" , "who be the owner of cnn" 
"NUM:period" , "how long be the oj simpson trial" 
"LOC:country" , "what country lie directly south of detroit" 
"LOC:other" , "where do surf originate" 
"LOC:mount" , "what be the tall mountain" 
"NUM:count" , "what the maximum number of club a golfer may use in a round" 
"NUM:count" , "how many different country export coffee" 
"NUM:count" , "how many continent be there" 
"HUM:ind" , "what knight actor narrates tv the world at war" 
"HUM:ind" , "what football coach story be tell in the movie run to daylight" 
"NUM:date" , "when do the chernobyl nuclear accident occur" 
"LOC:other" , "where do the maya people live" 
"HUM:ind" , "what be the name of randy craft lawyer" 
"LOC:state" , "kosovo be a province of what country" 
"LOC:state" , "what new england state cover square mile" 
"NUM:date" , "hitler come to power in germany in what year" 
"HUM:ind" , "who market" 
"LOC:other" , "where be the haversian canal" 
"NUM:count" , "how many people die from tuberculosis each year" 
"HUM:ind" , "who with julie andrew in mary poppins" 
"LOC:other" , "where can i find the status of my tax return" 
"NUM:other" , "what be the horsepower of the shuttle booster" 
"NUM:date" , "when be general manuel noriega oust a the leader of panama and turn over to authority" 
"NUM:count" , "how many year of bad luck follow break a mirror" 
"LOC:other" , "where be the kentucky horse park" 
"HUM:ind" , "what argentine boxer be shoot dead outside a nevada brothel in may" 
"LOC:country" , "what country boast the most car per mile of road" 
"HUM:ind" , "what be jimmy olsen full name" 
"NUM:count" , "how many people have die of tuberculosis" 
"NUM:count" , "how many day do a typical mayfly live" 
"HUM:ind" , "what famous new york city mayor write the hit song will you love me in december a you do in may" 
"LOC:city" , "what russian city use to be call petersburg and petrograd" 
"NUM:count" , "how many vote in congress dissent from the declaration of war with japan" 
"HUM:ind" , "who be pia zadora millionaire husband and mentor" 
"HUM:ind" , "what president be the first to breed mule" 
"HUM:ind" , "what design the present paul cathedral in london" 
"HUM:ind" , "what feminist write sexual politics and fly" 
"HUM:ind" , "who be the first american world chess champion" 
"HUM:ind" , "who be the last woman execute in england" 
"NUM:count" , "how many school district be there in the united state" 
"NUM:period" , "how long do the paris commune hold out for against the rest of france" 
"NUM:count" , "how much iron be in your body" 
"NUM:date" , "when do thatcher become prime minister" 
"LOC:other" , "what be some good fractal web site" 
"LOC:country" , "what country impose the berlin blockade in" 
"NUM:money" , "how much do drug to treat tuberculosis cost" 
"LOC:other" , "what kind of habitat do the scorpion live in" 
"NUM:count" , "how many logarithmic scale be there on a slide rule" 
"LOC:other" , "where be webster university" 
"NUM:temp" , "how hot should the oven be when make peachy oat muffin" 
"NUM:period" , "how old be britney spear" 
"LOC:other" , "where can i get piano music for the jamiroquai song everyday for the midi" 
"LOC:country" , "what country capital be form when pesth and buda merge" 
"LOC:city" , "what town be the setting for the music man" 
"LOC:other" , "where can i find scientific data research paper on textile engineering" 
"NUM:count" , "how many people die from snakebite poisoning in the per year" 
"NUM:dist" , "how high be the city of denver" 
"HUM:ind" , "who be international olympic committee chairman at the summer game" 
"NUM:date" , "when be florida admit into the union" 
"NUM:count" , "how many time a year do the american gourd society publish the gourd" 
"LOC:other" , "where can i read about abraham lincoln" 
"NUM:money" , "what will the increase be in the california gas tax by" 
"NUM:dist" , "how far be the long hole in on any golf course and where do it happen" 
"HUM:ind" , "what appointments secretary to richard nixon go to jail" 
"HUM:ind" , "who release the internet worm in the late" 
"HUM:ind" , "what be the name of the american who be capture when his plane go down over lebanon" 
"HUM:ind" , "what basketball player be credit with rebound" 
"NUM:volsize" , "how big be a normal size penis for a" 
"NUM:count" , "how many american soldier remain unaccounted from the vietnam war" 
"LOC:other" , "where can i find a tape or book to help me say write and understand japanese" 
"NUM:count" , "how many cable support the main span of the golden gate bridge" 
"NUM:money" , "how much do manchester united spend on player in" 
"LOC:other" , "what be the birthplace of edgar allen poe" 
"HUM:ind" , "what american sergeant lose both of his hand in combat during world war ii and then go on to act in a single movie for which he win two oscar" 
"HUM:ind" , "who invent the fountain" 
"LOC:other" , "what room do field keep his library in" 
"HUM:ind" , "what batman character tool around on a batcycle" 
"LOC:other" , "where can i find the schematic to the windshield wiper mechanism" 
"HUM:ind" , "who be sherlock holmes archenemy" 
"LOC:other" , "where be global schoolhouse" 
"NUM:count" , "how many year of schooling after highschool do it take to become a neurosurgeon" 
"LOC:other" , "what volcano shower ash on sicily" 
"LOC:other" , "where be the headquarters for procter gamble" 
"NUM:date" , "when do mount helen last have a major eruption" 
"HUM:ind" , "what the name of tom sawyer aunt with whom he live" 
"HUM:ind" , "which member of the micronauts spend year travel the microverse in the marvel comic" 
"HUM:ind" , "what doctor claim in a book there be no such thing a a bad boy" 
"NUM:period" , "how long have cool be marry" 
"NUM:weight" , "how much do a knight armor weigh" 
"HUM:ind" , "what comedian create a pugilist name cauliflower mcpugg" 
"NUM:dist" , "how tall be prince charles" 
"NUM:weight" , "what be the weight of air" 
"LOC:city" , "what be the capital of uruguay" 
"NUM:dist" , "how long be the world large ship in meter" 
"NUM:dist" , "how tall be the replica of the matterhorn at disneyland" 
"LOC:other" , "what be the large desert in the world" 
"LOC:other" , "where be qatar" 
"LOC:state" , "what be the rich state in the" 
"HUM:ind" , "who be the prime minister in norway" 
"HUM:ind" , "what actress star in the lion in winter" 
"HUM:ind" , "who win the rugby world cup in" 
"NUM:count" , "how many time be pitcher warren spahn a winner in his major league season" 
"NUM:count" , "how many pin be use in skittle" 
"LOC:other" , "what california bridge be don brown the first to cross on may" 
"HUM:ind" , "who be the famous sister of actress olivia de havilland" 
"HUM:ind" , "which german president be pressure into appoint hitler chancellor in" 
"NUM:count" , "how many people have be kill in war arm conflict" 
"LOC:city" , "what be the large city in the world to declare martial law in" 
"LOC:other" , "where be the thomas edison museum" 
"NUM:money" , "what be the first minimum wage" 
"LOC:mount" , "what be the name of the high mountain in africa" 
"LOC:mount" , "what mountain range extend from the gulf of lawrence to alabama" 
"NUM:count" , "how many type of lemur be there" 
"HUM:ind" , "what famous coach say if you can beat in the alley you can beat on the ice" 
"HUM:ind" , "what onetime member of ronald reagan cabinet call federal policy toward indians an example of the failure of socialism" 
"NUM:count" , "how many claw have a lobster call a pistol lose" 
"HUM:ind" , "who be darth vader son" 
"HUM:ind" , "who invent the process to make condensed milk" 
"LOC:city" , "what be the large city in connecticut" 
"NUM:other" , "what be the population of the united state" 
"HUM:ind" , "what actor and actress have make the most movie" 
"HUM:ind" , "who find hawaii" 
"LOC:other" , "where can i find free piano score for popular music" 
"NUM:date" , "when do the american civil war end" 
"LOC:country" , "what country be the large diamond producer" 
"NUM:period" , "how long do it take the moon to revolve around the earth" 
"HUM:ind" , "who protect dc comic realm of dream" 
"NUM:date" , "when do the vesuvius last erupt" 
"NUM:date" , "when do the supercontinent pangaea break up" 
"HUM:ind" , "who create harry lime" 
"HUM:ind" , "who be president cleveland wife" 
"LOC:city" , "what the capital of monaco" 
"NUM:weight" , "what do englishman weigh themselves in" 
"NUM:volsize" , "how big be the electoral college" 
"HUM:ind" , "who invent the moog synthesizer" 
"HUM:ind" , "who make the die hard car battery" 
"NUM:period" , "how long do it take to travel from tokyo to niigata" 
"LOC:state" , "what state be the filenes store locate in" 
"NUM:money" , "what be the start salary of a radiographer" 
"HUM:ind" , "what be the name of dolly parton rarely see husband" 
"LOC:other" , "where be the official zero of the sea level" 
"HUM:ind" , "whose old london be buy my sweet lavender" 
"HUM:ind" , "who write the lyric to porgy and be" 
"NUM:ord" , "what chapter of go with the wind have rhett butler leave scarlett o" 
"NUM:count" , "how many american actor be nominate for the best actor oscar for" 
"NUM:date" , "when do lucelly garcia a former ambassador of columbia to honduras die" 
"NUM:period" , "how long be the long sneeze attack" 
"LOC:other" , "what be the seafaring name for the southern tip of south america" 
"HUM:ind" , "what two new york yankee pitcher swap wife and family" 
"NUM:date" , "when do nixon visit china" 
"NUM:date" , "what the third month of the gregorian calendar" 
"LOC:country" , "what country own corsica" 
"NUM:count" , "how many queen bee reign in a hive" 
"LOC:other" , "where can i find a world atlas map online at no charge" 
"NUM:ord" , "what chapter of the bible have the most verse" 
"LOC:other" , "what ocean do the titanic sink in" 
"NUM:date" , "in what year be the wall build" 
"HUM:ind" , "name one of king henry viii wife" 
"LOC:state" , "what southwestern state be dub the silver state" 
"LOC:country" , "what country do the ally invade in world war ii operation avalanche" 
"LOC:other" , "what famed river be hernando de soto the first european to see" 
"NUM:date" , "when be christ bear" 
"LOC:other" , "where do quality drink begin" 
"HUM:ind" , "who be the french literary charcter who be chiefly famous for his enormous nose" 
"LOC:country" , "what country surround san marino the world small republic" 
"HUM:ind" , "who kill martin luther king" 
"HUM:ind" , "who own the right on a tv program" 
"HUM:ind" , "who invent astroturf" 
"NUM:date" , "what season do a hiemal activity normally take place in" 
"LOC:other" , "what direction do the best surfing beach face" 
"NUM:dist" , "what be the world record for the long hair" 
"HUM:ind" , "what democratic prankster wave the train out of the station while richard nixon speak from the caboose" 
"LOC:other" , "what california bay large island be angel island" 
"HUM:ind" , "what former african leader hold his country boxing title for nine year" 
"LOC:other" , "what california bridge be don brown the first to cross on may" 
"NUM:money" , "how much do one ton of cement cost" 
"HUM:ind" , "what american poet write a biography of abraham lincoln" 
"LOC:other" , "where be the old living thing on earth" 
"HUM:ind" , "who stop make diary entry on may because he think he be go blind" 
"HUM:ind" , "what journalist can be find in and around walden puddle" 
"NUM:count" , "how many side do an obelisk have" 
"HUM:ind" , "what woman pitcher have strike out ted williams and hank aaron" 
"NUM:date" , "in what year be the cannon invent" 
"NUM:count" , "how many language do the pope speak" 
"LOC:other" , "what bay divides maryland eastern and western shore" 
"HUM:ind" , "what be the real name of the singer madonna" 
"HUM:ind" , "what frenchman claim the following if god do not exist it would be necessary to invent him" 
"HUM:ind" , "who be the first woman in space" 
"HUM:ind" , "who discover imaginary number" 
"HUM:ind" , "who do the voice of the simpson" 
"NUM:count" , "how many foot high be the hurdle in front of a runner steeplechase water jump" 
"NUM:count" , "how many calorie be there in a glass of water" 
"HUM:ind" , "who be the rich person in the world without own a business" 
"NUM:other" , "what be the chemical reactivity of neon" 
"LOC:other" , "where can i find info on alexander mackenzie" 
"LOC:city" , "what georgia town do scarlett o condemn a be full of pushy people" 
"NUM:count" , "how many country watch mtv europe" 
"NUM:code" , "what be the airport code for los angeles international" 
"LOC:other" , "where do the real nicholas live" 
"NUM:count" , "how many eye do a bat have" 
"HUM:ind" , "who be the second man to walk on the moon" 
"LOC:other" , "where do dikembe mutombo go to college" 
"HUM:ind" , "what author be appoint ambassador to spain in" 
"LOC:other" , "what body of water do the yukon river empty into" 
"HUM:ind" , "who be westview high band director in funky winkerbean" 
"LOC:other" , "what be mark mcgwire address" 
"NUM:count" , "how many maid be milk" 
"LOC:city" , "the kentucky horse park be locate near what city" 
"NUM:date" , "what geological time do we live in" 
"LOC:other" , "where be the massive north korean nuclear complex locate" 
"LOC:other" , "where be microsoft corporate headquarters locate" 
"NUM:date" , "when be china first nuclear test" 
"HUM:ind" , "what singer hit song inspire the dolly parton stallone movie rhinestone" 
"NUM:money" , "how much can a person be fin for have a dog on a beach" 
"LOC:other" , "what asian gulf be the destroyer maddox and c turner joy shoot up in" 
"HUM:ind" , "what be mao the chinese leader full name" 
"NUM:date" , "when be dick clark birthday" 
"HUM:ind" , "who be the director of the international group call the human genome organization hugo that be try to coordinate research worldwide" 
"HUM:ind" , "what character narrate treasure island" 
"HUM:ind" , "who star with charlie chaplin in modern time and the great dictator" 
"NUM:code" , "what seven digit follow the area code in the number for long distance information" 
"HUM:ind" , "what character be elect mayor of half a dozen italian city" 
"HUM:ind" , "whom do uncle duke girl friend honey room with" 
"HUM:ind" , "when call upon to surrender what american general reply sir i have not yet begin to fight" 
"NUM:date" , "when be the invent" 
"HUM:ind" , "what relative of leo tolstoy translate war and peace eight time" 
"NUM:count" , "how many card be each player dealt in contract bridge" 
"HUM:ind" , "who be the second person ever to wear iron man armor" 
"HUM:ind" , "who be the director and editor of the movie big starring tom hank" 
"LOC:other" , "what be the homelite home page" 
"NUM:period" , "how old be stevie wonder when he sign with motown record" 
"HUM:ind" , "who win two gold medal in ski in the olympic game in calgary" 
"NUM:date" , "what year be the avery dennison company found" 
"NUM:ord" , "where do the rank among world country in area" 
"LOC:other" , "what be the name of all the sea in the world and what ocean do they drain into" 
"LOC:mount" , "name the high mountain" 
"LOC:other" , "what island be home to statue call maui" 
"LOC:other" , "where be pythagoras bear" 
"NUM:money" , "what be the price for aaa liability auto insurance" 
"HUM:ind" , "who be the top ten rich people in the world" 
"HUM:ind" , "who be the leader of brunei" 
"LOC:city" , "what be the capital of italy" 
"LOC:other" , "what be the great hiking web site" 
"NUM:count" , "what be the population of arcadia florida" 
"HUM:ind" , "who be the head writer for the smother brother comedy hour" 
"HUM:ind" , "who portray prewett in from here to eternity" 
"NUM:count" , "how many people live in city" 
"NUM:dist" , "how high must a mountain be to be call a mountain" 
"HUM:ind" , "what scottish poet pen to a mouse and to a louse" 
"HUM:ind" , "what be the name of the inventor of silly putty" 
"LOC:other" , "what ocean surround the madeira island" 
"HUM:ind" , "what famous communist leader die in mexico city" 
